ID,sex,school,country,sleep,suite_pref,cleanliness,alcohol,siblings,gender_pref
FY227,M,S82,Singapore,3,2,2,No,No,No Preference
FY230,F,S23,United States,3,2,1,No,Yes,Female Only
FY231,M,S44,Singapore,2,1,2,Yes,No,No Preference
FY232,F,S61,Australia,2,1,1,Yes,No,Female Only
FY234,F,S80,Singapore,2,2,2,No,No,Female Only
FY235,F,S34,Singapore,2,2,2,No,No,Female Only
FY236,F,S88,Singapore,2,2,1,No,No,Female Only
FY237,M,S90,China,1,2,2,Yes,No,Male Only
FY238,F,S90,China,2,2,2,Yes,No,Female Only
FY239,F,S13,Philippines,2,2,2,Yes,No,Female Only
FY240,M,S78,China,2,2,2,No,No,Male Only
FY241,M,S43,China,2,1,1,Yes,No,Male Only
FY242,F,S97,Singapore,1,2,2,No,No,Female Only
